//===== rAthenaCN 汉化声明 ===================================
//= 您可以随意转载和使用本汉化脚本。若您使用、借鉴或复制了
//= 此脚本中的汉化成果，那么请在您的脚本中加上并保留这七行
//= 汉化声明，由衷感谢。
//= 若您对这个脚本有更好的翻译建议，或发现此脚本的汉化错误，
//= 请前往 http://rathena.cn 上报您发现的问题，谢谢。
//============================================================

//===== rAthena Script =======================================
//= Payon Cave Monster Spawn Script
//===== By: ==================================================
//= Athena (1.0)
//===== Current Version: =====================================
//= 1.3
//===== Compatible With: =====================================
//= rAthena Project
//===== Additional Comments: =================================
//= 1.1 Official kRO 10.1 spawns [Playtester]
//= 1.2 Small spawn update [Playtester]
//= 1.3 Corrected MVP spawn variance. [L0ne_W0lf]
//============================================================

//==================================================
// pay_dun00 - Payon Cave F1
//==================================================
pay_dun00,0,0	monster	吸血蝙蝠	1005,15
pay_dun00,0,0	monster	腐尸	1015,20
pay_dun00,0,0	monster	邪骸战士	1076,35
pay_dun00,0,0	monster	波波利	1031,15
pay_dun00,0,0	monster	红草	1078,15,180000,90000
pay_dun00,140,140,5,5	monster	黑菇	1084,3,360000,180000

//==================================================
// pay_dun01 - Payon Cave F2
//==================================================
pay_dun01,0,0	monster	红蝙蝠	1111,5
pay_dun01,0,0	monster	转转蛋	1116,15
pay_dun01,0,0	monster	邪骸士兵	1028,50,300000,150000
pay_dun01,0,0	monster	邪骸弓箭手	1016,30,300000,150000
pay_dun01,235,54,10,10	monster	黑菇	1084,7,900000,450000
pay_dun01,0,0	monster	红草	1078,10,180000,90000

//==================================================
// pay_dun02 - Payon Cave F3
//==================================================
pay_dun02,0,0	monster	邪骸士兵	1028,15,180000,90000
pay_dun02,0,0	monster	僵尸	1026,40
pay_dun02,0,0	monster	妖道	1188,30
pay_dun02,0,0	monster	波波利	1031,10
pay_dun02,0,0	monster	邪骸弓箭手	1016,20,180000,90000
pay_dun02,116,205	monster	海葵	1068,1,345000,100000
pay_dun02,116,199	monster	海葵	1068,1,306000,100000
pay_dun02,116,196	monster	海葵	1068,1,300000,100000
pay_dun02,116,190	monster	海葵	1068,1,326000,100000
pay_dun02,117,206	monster	海葵	1068,1,302000,100000
pay_dun02,117,200	monster	海葵	1068,1,275000,100000
pay_dun02,117,197	monster	海葵	1068,1,314000,100000
pay_dun02,117,191	monster	海葵	1068,1,300000,100000
